NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
*b(y)aw² & *s-ŋakH	banana	香蕉	868	BANANA	noun
*ʔ-mun¹	taro	芋头	351	TARO	noun
*[ja˧] & *C-ʃukL	tobacco	烟/烟草	974	TOBACCO	noun
*(C)-mrukL	grass	草	606	GRASS	noun
*ze²	thatch (cogon grass)	茅草	279	THATCH	noun
	reed	芦苇	659	REED	noun
*s-mo¹	mushroom	菌子	641	MUSHROOM	noun
*yo² & *je³	seed	种子	714	SEED	noun
*m-je¹/m-ge³ & *mlik/g-likL	root	根	670	ROOT	noun
	stem; stalk	茎	2628	PLANT STEM	noun
*C-pakL	leaf	叶子	628	LEAF	noun
	sprout; bud	芽(种子芽)	3358	SPROUT (SHOOT)	noun
*k-watH	flower	花	239	FLOWER	noun
	wood	木	1803	WOOD	noun
*C-m-bak L	board	板子	1227	BOARD	noun
	stick	棍子	1295	STICK	noun
*C-gakL	branch	树枝	1531	BRANCH	noun
*C-gukL	tree bark	树皮	1204	BARK	noun
*can¹	unhulled rice	谷子（稻谷）	2749	UNHUSKED RICE	noun
*ʔ-ɡaw³/okH	rice (grains)	米	926	RICE	noun
*dza¹& *maŋ² & *haŋ²	cooked rice	饭	1191	COOKED RICE	noun
	glutinous rice	糯米	2750	GLUTINOUS RICE	noun
	rice seedling	秧苗	3767	RICE SEEDLING	noun
*pway²	rice hulls	稻壳	2501	RICE HUSK	noun
*pway²	chaff	谷壳	2363	CHAFF (HUSK)	noun
	fruit peel	果皮	2373	SKIN (OF FRUIT)	noun
	shell (egg, etc)	皮/壳(蛋)	598	SHELL	noun
*cu² & *g(y)oŋ³	thorn	刺儿	124	THORN	noun
	moss	苔(青苔)	637	MOSS	noun
*m-da¹ C-kra¹	fern	蕨草			
*m-di²	yeast	酵母	967	YEAST	noun
*C-kapL C-la¹	ashes	灰(草木灰)	646	ASH	noun
	body	身体	1480	BODY	noun
*u² & *ʔ-du² & *ʔ-koŋ²	head	头	1256	HEAD	noun
*(C)-nokL	brains	脑髓	1583	BRAIN	noun
	forehead	额头	123	FOREHEAD	noun
*ʔ-tsam¹ kriŋ¹	head hair	头发	2648	HAIR (HEAD)	noun
	braid	辫子	1043	BRAID	noun
*pyu²	face	脸	1560	FACE	noun
*pyu²	face	脸	1560	FACE	noun
	eyebrow	眉毛	1173	EYEBROW	noun
*(C)-myakH	eye	眼睛	1248	EYE	noun
	eyeball	眼球	1248	EYE	noun
	tears	眼泪	1651	TEAR (OF EYE)	noun
sna² kaŋ²	nose	鼻子	1221	NOSE	noun
ʔna² ʔbaŋ¹	ear	耳朵	1247	EAR	noun
*ba²	cheeks	颊	1730	CHEEK	noun
*(C)me²/mokL	mouth	嘴	674	MOUTH	noun
*(C)me²/mokL - re¹ & *C-ɡukL	lips	嘴唇	478	LIP	noun
*swa² & *ʔ-cway¹	teeth	牙齿	1380	TOOTH	noun
	front teeth	前牙	442	FRONT TOOTH (INCISOR)	noun
	back teeth	后牙	1049	MOLAR TOOTH	noun
*ʔ-ko³ & *diŋ²	gums	齿龈	139	GUMS	noun
*ʔ-l(y)a¹	tongue	舌头	1205	TONGUE	noun
*ʔ-tsitH	beard; mustache	胡子	678	BEARD	noun
*ʔ-pi¹ & *doŋ²	chin	下巴	1510	CHIN	noun
*liŋ¹/*ʔ-kroŋ²	neck	脖子	1333	NECK	noun
*ʔ-kroŋ² & *byiŋ²	throat	喉咙	1346	THROAT	noun
*p/ʔ-rum²	shoulder	肩膀	1482	SHOULDER	noun
	joint	关节	999	JOINT	noun
*lakL	hand/arm	手·胳臂	2121	ARM OR HAND	noun
	hand	手	1277	HAND	noun
	arm	手臂	1673	ARM	noun
*k-wa²	palm (of hand)	手掌	1183	PALM OF HAND	noun
*C-dzikL	wrist	手腕	799	WRIST	noun
*C-dzikL	elbow	肘	981	ELBOW	noun
*s-ɲo¹	finger	指/手指	1303	FINGER	noun
	index finger	食指	577	FOREFINGER	noun
	pinkie finger	小手指	2774	LITTLE FINGER	noun
*C-ma³	thumb	拇指	1781	THUMB	noun
*siŋ²	fingernail	指甲	1258	FINGERNAIL	noun
*daŋ¹/²	buttocks	屁股	834	BUTTOCKS	noun
	hip	臀部	1745	HIP	noun
*kre¹	foot/leg	脚·腿	2098	FOOT OR LEG	noun
	leg	腿	1297	LEG	noun
	foot	脚	1301	FOOT	noun
*(ʃ)-boŋ²	thigh	大腿	800	THIGH	noun
*bay¹	calf (of leg)	小腿	498	CALF OF LEG	noun
*taw(?) & *C-pay²/¹	sole (of foot)	脚底	2666	SOLE (FOOT)	noun
*ni²	heel	脚后跟	980	HEEL	noun
*kre¹ (C)-myakH	ankle (joint)	踝	803	ANKLE	noun
*du³	knee	膝/膝盖	1371	KNEE	noun
	toe	趾/脚趾	1389	TOE	noun
	big toe	大趾			
*koŋ²	chest	胸脯	1592	CHEST	noun
	back	脊背	1291	BACK	noun
*loŋ² & no³	breast	乳房	1402	BREAST	noun
*ʔ-ga³ & *li¹	armpit	腋下/腋窝	1886	ARMPIT	noun
*re¹ & *C-ɡukL	skin	皮肤	763	SKIN	noun
*ʃə-ro²	bone	骨头	1394	BONE	noun
	rib	肋骨	801	RIB	noun
*(ʃ)-wutL	stomach	胃	819	STOMACH	noun
*wam²	belly	肚子/腹部	1251	BELLY	noun
*(C-k)yakH& *ʔ-doŋ¹ & *Ck-ru²	navel	脐 (肚脐)	1838	NAVEL	noun
*gyaw²/apL	waist	腰	1681	WAIST	noun
*ʔ-bin¹	kidney	肾/腰子	489	KIDNEY	noun
*ʔu¹	intestines	肠子	1991	INTESTINES	noun
*ni³	heart	心	1223	HEART	noun
*(ʃ)-sin²	liver	肝	1224	LIVER	noun
*(ʃ)-papL tsi²/tsutH	lung	肺/肺脏	688	LUNG	noun
	bladder	膀胱	1746	BLADDER	noun
	gallbladder	胆/苦胆	3372	GALL BLADDER	noun
*C-ʔ-kre¹	bile	胆汁	1780	BILE	noun
*ʔ-krwe²	sweat	汗	2458	PERSPIRE OR SWEAT	other
*swe²	blood	血	946	BLOOD	noun
*s-napL	snot	鼻涕/粘液	208	NASAL MUCUS (SNOT)	noun
	phlegm	痰	3061	PHLEGM	noun
*kan²	saliva	口水	1503	SALIVA	noun
*co¹ & no³	milk	奶	635	MILK	noun
*k(l)e²	excrement	屎	675	FAECES (EXCREMENT)	noun
*m-ji² & ʃi²	urine	尿	1142	URINE	noun
*m-bliŋ¹	pus	脓	1808	PUS	noun
	sore (wound)	疮	51	SORE	noun
*ʔ-mwe³	body hair; feathers	毛(翎毛)	2381	FEATHER OR FUR OR HAIR	noun
*(n)-li²	penis	阴茎	1222	PENIS	noun
*batL	vulva	女阴	1837	VULVA	noun
	anus	肛门	1935	ANUS	noun
*(ʃ)-gru²	tendon	筋/腱	1137	TENDON	noun
*C-sakL	breath	呼吸	870	BREATH	noun
*ra²/roŋ¹	strength	力气	202	STRENGTH	noun
*tsaŋ¹	person	人	683	PERSON	noun
*ɡ-yokL	male	男人	1553	MALE	adjective
*C-mi²	female	女人	1551	FEMALE	adjective
*Ngwi	autonym	(自称)	3433	AUTONYM (OF PEOPLE)	noun
*hyakH, /hay²	Han Chinese	汉族	3373	HAN CHINESE	noun
	Yi/Lo	彝族			
	Bai	白族			
	Dai	傣族			
	child	儿童	2099	CHILD	noun
	elderly person	老人	725	OLD PERSON	noun
	older man	老男人	406	OLD MAN	noun
	older woman	老女人	907	OLD WOMAN	noun
	boy	青年男人	1366	BOY	noun
	girl	青年女人	1646	GIRL	noun
*kyaŋ²	friend	朋友	1325	FRIEND	noun
	enemy	敌人	1358	ENEMY	noun
	host	主人	1545	HOST	noun
	guest	客人	1782	GUEST	noun
	lame person	瘸子/跛子	2322	LAME PERSON	noun
	official	官	3361	OFFICIAL	noun
	high official	大官			
	low official	小官			
	emperor	皇帝	1508	KING	noun
*maw²	doctor	医生	597	PHYSICIAN	noun
*'iron beater' & [hlek˥]	blacksmith	铁匠/锻工	1001	BLACKSMITH	noun
*C-mak L	soldier	兵/士兵	1941	SOLDIER	noun
	bride	新娘	1266	BRIDE	noun
	groom	新郎	3282	GROOM	noun
*mum² co²	widow	寡妇	1756	WIDOW	noun
	widower	寡郎	1981	WIDOWER	noun
*C-jukL/u¹	blind (person)	盲; 瞎子	1653	BLIND	adjective
*baŋ¹	deaf (person)	聋(子)	996	DEAF	adjective
*ʔəpo²	father's father	爷爷	2560	PATERNAL GRANDFATHER	noun
*ʔəpi¹	father's mother	奶奶	3015	PATERNAL GRANDMOTHER	noun
	GP father	祖父	1383	GRANDFATHER	noun
	GP mother	祖母	1496	GRANDMOTHER	noun
*ʔəba²	father	父亲	1217	FATHER	noun
*ʔəC-ma³ & ʔəyan³	mother	母亲	1216	MOTHER	noun
	wife's father	岳父	1055	FATHER-IN-LAW	noun
	wife's mother	岳母	2257	MOTHER-IN-LAW (OF MAN)	noun
*ʔəwikL ɡo¹	older brother	哥哥	1759	OLDER BROTHER	noun
*ʔəwikL C-ma³ & ʔətsi³	older sister	姐姐	1758	OLDER SISTER	noun
*ʔəɲi¹	younger brother of a male	弟弟	2416	YOUNGER BROTHER (OF MAN)	noun
*ʔəs-nam¹/ɲi¹ma³	younger sister of a male	妹妹	2420	YOUNGER SISTER (OF MAN)	noun
	siblings	兄弟姐妹	1640	SIBLING	noun
	oldest sibling	老大			
*s-likL	second sibling	老二			
	third sibling	老三			
*m-laŋ/plaŋ¹	husband	丈夫	1200	HUSBAND	noun
*mi² ya²	wife	妻子	1199	WIFE	noun
*ʒa²	son	儿子	1620	SON	noun
*C-mi²	daughter	女儿 (姑娘)	1357	DAUGHTER	noun
*krwe²	daughter-in-law	儿媳 (媳妇)	1057	DAUGHTER-IN-LAW	noun
*ʒəmakL	son-in-law	女婿	1056	SON-IN-LAW	noun
*ʔəʃa²	brother's son	侄子	1063	NEPHEW	noun
*ʔəʃa²	brother's daughter	侄女	1642	NIECE	noun
*m-du¹	sis' child (Mvpt)	外甥/外甥女			
*m-du¹	sis' child (Mvpt)	外甥/外甥女			
*(m)-le²	son's son	孙子	2702	GRANDSON (SON'S SON)	noun
*(m)-le²	son's daughter	孙女	1619	GRANDDAUGHTER	noun
	ancestor	祖先	1669	ANCESTORS	noun
*ʔəu²	father's OB	伯父	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	noun
	father's BW	伯母	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	noun
*ʔəkay²	father's OS	姑妈	3041	PATERNAL AUNT (FATHER'S OLDER SISTER)	noun
	father's YB	叔叔	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	noun
*ʔəri¹	mother's OB	舅舅	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	noun
*ʔəC-me ¹/³	mother's OS	姨母	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	noun
*ʔ-pa²	male suffix	公的			
*C-ma³	female suffix	母的			
	father+children (CLF)	三父子			
	mother+children (CLF)	三母子			
	grandfather+grandchildren (CLF)	三爷孙			
	grandmother+grandchildren (CLF)	三奶孙			
*yim¹	house	房子	1252	HOUSE	noun
	home	家	2406	HOME	noun
*pyoŋ¹	wall	墙壁	933	WALL (OF HOUSE)	noun
*koŋ¹	roof	房顶	769	ROOF	noun
*ŋwa¹pi²	tile (ceramic)	瓦片	3404	TILE	noun
	beam [main]	梁(主)	1132	BEAM	noun
*ʔ-cokH & *toŋ²	beam[small]	梁(小)	1132	BEAM	noun
*m-doŋ¹	post; pillar	柱子(大)	281	POST	noun
*ya¹/la¹ mikɲ/ko²	door	门	1567	DOOR	noun
*m-baŋ²	room	房间	1450	ROOM	noun
	fire-pit	火塘	185	FIREPLACE	noun
*swe² (k-)rutL	charcoal	木炭	1188	CHARCOAL	noun
*ʔ-dan³ C-mi¹	field; wet field	田 (稻田)	140	PADDY FIELD	noun
*r-ya¹	dry field	田 (旱田)	2794	FIELD (UPLAND)	noun
	garden	菜园	586	GARDEN	noun
	pen; fold	圈(牛圈)	851	STABLE	noun
*ʔ-gyi¹	granary	仓（装粮食的柜子）	3657	GRANARY	noun
	shrine; temple	庙	911	TEMPLE	noun
	tomb; grave	坟墓	1773	GRAVE	noun
	graveyard	墓地	3284	GRAVEYARD	noun
	head-wrap	头巾	3066	SCARF OR TURBAN	noun
	headdress	饰头巾	331	HEADDRESS	noun
*ʔ-tsi²	hat	帽子	771	HAT	noun
*k-waŋ²	earring	耳环	770	EARRING	noun
*(C)-ɡoŋ¹	bracelet	手镯	1754	BRACELET	noun
*ʔ-ban²	ring (for finger)	戒指	1374	RING	noun
	clothing	衣服	1895	CLOTHES	noun
	clothing	衣服	1895	CLOTHES	noun
	collar	衣领	2012	COLLAR	noun
	sleeve	袖子	2953	SLEEVE	noun
*C-dupL	button	钮扣	757	BUTTON	noun
	palm bark rain cape	蓑衣	3540	STRAW RAINCOAT	noun
*ʔ-/k-la²	pants	裤子	809	TROUSERS	noun
	belt	裤带	772	BELT	noun
*(ʔ)-napL	shoes	鞋	1381	SHOE	noun
*pa¹	cloth (fabric)	布	1616	CLOTH	noun
	baby sling	背兜			
*(C)-m-it/utL/H	shoulder bag	肩袋			
*[bo˧]	blanket; quilt	被子	806	BLANKET	noun
*m-gum²	pillow	枕头	1044	PILLOW	noun
*m-gu² & *ʔ-pu³	mat	(垫)席	195	MAT	noun
*s-mun¹ OR*ʔ-toŋ² & *tsum¹ & *ʔ-kri¹	rice powder	米粉	3285	RICE FLOUR	noun
*s-mun¹	flour	面粉	1594	FLOUR	noun
	porridge	粥	2049	CONGEE	noun
	oil	油	1484	OIL (ORGANIC SUBSTANCE)	noun
*tsi¹	lard	动物油	1282	FAT (FROM ANIMALS)	noun
*(t)sa²	salt	盐	1274	SALT	noun
*xa²	meat	肉	634	MEAT	noun
	soup	汤 (菜汤)	1547	SOUP	noun
nji¹	liquor	酒	842	LIQUOR	noun
*la¹	tea	茶 （茶水）	1373	TEA	noun
	sugar	糖	862	SUGAR	noun
	jaggery	红糖	862	SUGAR	noun
*s-lwa³	saw	锯子	1948	SAW	noun
*taŋ³ & *ʔ-mi(a)¹ *& ta²	knife	刀	1352	KNIFE	noun
	kitchen knife	菜刀	2772	KITCHEN KNIFE	noun
	pointed knife	尖刀			
*C-ɡapL	sickle	镰刀	341	SICKLE	noun
*ʔ-cin²	hatchet	斧头	677	AXE	noun
*ʔ-ɡukH	hoe (large)	锄头	284	HOE	noun
	plow	犁	2154	PLOUGH (INSTRUMENT)	noun
	yoke	牛轭	14	YOKE	noun
*C-m(y)u²/³ & *[cən]	thing	东西	738	THING	noun
*(g)-rak L	loom	织布机	1787	LOOM	noun
*g-rap L	needle	针	1382	NEEDLE (FOR SEWING)	noun
	awl	锥子	278	AWL	noun
ʔtsam¹	thread	线 (缝衣用的)	1161	THREAD	noun
	ball (of thread)	线球	1845	BALL	noun
	rope; string	绳子	362	STRING	noun
*ʔ-cakH	chain	链子	1627	CHAIN	noun
	whip (horse whip)	鞭子 (马鞭子)	2630	WHIP	noun
*ʔ-wa¹	winnowing basket	簸箕 (簸米用)	2051	DUSTPAN	noun
	bamboo sieve; sifter (fine)	筛子(细的)	3353	SIEVE (TOOL)	noun
	whetstone	磨刀石	295	WHETSTONE	noun
	millstone	石磨	2459	GRINDSTONE	noun
*C-tu¹ & *kaŋ¹	hammer	锤子	1481	HAMMER	noun
	chisel	凿子	1979	CHISEL	noun
	rice huller	碓	225	PESTLE	noun
	rice pounder	米臼			
	mortar	臼	224	MORTAR	noun
	pestle	杵	225	PESTLE	noun
*C-nakH tsipL/tse²	medicine; herbal medicine	药	1372	MEDICINE	noun
*C-krakL & *ka² + *m-gyapL	bamboo basket	箩筐 (背东西用)	3360	BAMBOO BASKET	noun
*sutH	broom	扫帚	245	BROOM	noun
*ʔo²	pot; pan; wok	锅 (炒菜的)	2056	WOK	noun
	tub; bucket	桶	2052	BUCKET	noun
	barrel, ceramic	土罐	2055	CLAY POT	noun
	barrel, ceramic	土罐	2055	CLAY POT	noun
	washbasin	盆	915	SINK (BASIN)	noun
	bag; sack	袋子	2468	BAG	noun
*gwi²	comb (regular)	梳子	1475	COMB	noun
	fine toothed comb	细密梳子			
	bowl	碗	1530	BOWL	noun
	small bowl	小碗	2053	SMALL BOWL	noun
	large bowl	大碗	3286	LARGE BOWL	noun
*d/ɡy/j/yu¹/³	chopsticks	筷子	1987	CHOPSTICKS	noun
	bed	床	1663	BED	noun
	bed	床	1663	BED	noun
*dzam³ & *m-gu¹/²	ladder	梯子	1464	LADDER	noun
	firewood	柴	10	FIREWOOD	noun
	manure; fertilizer	粪 (肥料)	2057	DUNG (ANIMAL FAECES)	noun
*ʔ-ga(ŋ)¹ OR ga¹ OR gra¹	road	路	667	ROAD	noun
*dzam¹	bridge	桥	1011	BRIDGE	noun
*je¹	market	街子(市场)	633	MARKET	noun
	money	钱	1559	MONEY	noun
	money	钱	1559	MONEY	noun
*po²	price	价钱 (价格)	657	PRICE	noun
	folksong	民歌／山歌	2059	FOLK SONG	noun
	song	歌	1096	SONG	noun
	story	故事	2060	STORY	noun
	word (written)	字	1599	WORD	noun
